Year  Storms  Cat1  Cat2  Cat3  Cat4  Cat5  
1851  6       1     0     1     0     0     
1852  5       1     1     1     0     0     
1853  8       0     0     0     0     0     
1854  5       1     1     1     0     0     
1855  5       0     0     1     0     0     
1856  6       0     1     0     1     0     
1857  4       0     1     0     0     0     
1858  6       2     0     0     0     0     
1859  8       2     0     0     0     0     
1860  7       0     2     1     0     0     
1861  8       2     0     0     0     0     
1862  6       0     0     0     0     0     
1863  9       0     0     0     0     0     
1864  5       0     0     0     0     0     
1865  7       0     3     0     0     0     
1866  7       0     1     0     0     0     
1867  9       2     1     0     0     0     
1868  4       0     0     0     0     0     
1869  10      1     4     2     0     0     
1870  11      3     0     0     0     0     
1871  8       1     1     1     0     0     
1872  5       0     0     0     0     0     
1873  5       1     0     1     0     0     
1874  7       2     0     0     0     0     
1875  6       0     0     1     0     0     
1876  5       1     1     0     0     0     
1877  8       2     0     1     0     0     
1878  12      1     2     0     0     0     
1879  8       1     1     2     0     0     
1880  11      3     1     0     1     0     
1881  7       0     2     0     0     0     
1882  6       1     0     1     0     0     
1883  4       0     1     0     0     0     
1884  4       0     0     0     0     0     
1885  8       0     1     0     0     0     
1886  12      1     3     1     1     0     
1887  19      3     0     0     0     0     
1888  9       2     2     1     0     0     
1889  9       1     0     0     0     0     
1890  4       0     0     0     0     0     
1891  10      2     0     0     0     0     
1892  9       0     0     0     0     0     
1893  12      1     2     2     1     0     
1894  7       3     1     1     0     0     
1895  6       0     0     0     0     0     
1896  7       1     1     1     0     0     
1897  6       1     0     0     0     0     
1898  11      2     0     0     1     0     
1899  10      0     2     1     0     0     
1900  7       0     0     0     1     0     
1901  13      3     0     0     0     0     
1902  5       0     0     0     0     0     
1903  10      3     0     0     0     0     
1904  6       2     0     0     0     0     
1905  5       0     0     0     0     0     
1906  11      3     1     2     0     0     
1907  5       0     0     0     0     0     
1908  10      2     0     0     0     0     
1909  12      0     1     3     0     0     
1910  5       0     2     0     0     0     
1911  6       1     1     0     0     0     
1912  7       1     1     0     0     0     
1913  6       3     0     0     0     0     
1914  1       0     0     0     0     0     
1915  6       2     0     1     1     0     
1916  15      0     2     1     1     0     
1917  4       0     0     1     0     0     
1918  6       1     0     1     0     0     
1919  5       0     0     1     1     0     
1920  5       0     1     0     0     0     
1921  7       1     0     1     0     0     
1922  5       0     0     0     0     0     
1923  9       1     0     0     0     0     
1924  11      2     0     0     0     0     
1925  4       0     0     0     0     0     
1926  11      0     1     2     1     0     
1927  8       0     0     0     0     0     
1928  6       1     1     0     1     0     
1929  5       2     0     1     0     0     
1930  3       0     0     0     0     0     
1931  13      0     0     0     0     0     
1932  15      1     0     0     1     0     
1933  20      3     0     2     0     0     
1934  13      2     1     0     0     0     
1935  8       0     2     0     0     1     
1936  17      1     1     0     0     0     
1937  11      0     0     0     0     0     
1938  9       1     0     2     0     0     
1939  6       2     0     0     0     0     
1940  9       0     2     0     0     0     
1941  6       1     2     1     0     0     
1942  11      1     0     1     0     0     
1943  10      0     1     0     0     0     
1944  14      1     3     1     0     0     
1945  11      2     0     1     2     0     
1946  7       3     0     0     0     0     
1947  10      2     3     1     1     0     
1948  10      1     3     4     1     0     
1949  22      0     1     0     1     0     
1950  23      6     2     1     1     0     
1951  21      1     0     2     2     0     
1952  18      2     1     0     1     0     
1953  18      8     0     0     0     0     
1954  27      2     6     3     1     0     
1955  19      3     5     2     0     2     
1956  23      3     0     0     0     0     
1957  21      0     0     1     0     0     
1958  25      1     1     0     0     0     
1959  29      2     0     0     2     0     
1960  15      4     2     5     1     0     
1961  21      3     0     0     2     0     
1962  16      0     0     0     0     0     
1963  18      0     6     1     1     0     
1964  18      2     5     2     1     0     
1965  20      0     0     2     1     0     
1966  30      2     5     4     0     1     
1967  34      0     0     3     0     0     
1968  32      0     1     0     0     0     
1969  33      1     2     0     0     1     
1970  40      0     0     1     1     0     
1971  40      0     0     0     0     0     
1972  33      0     0     0     0     0     
1973  29      0     0     0     0     0     
1974  38      0     0     0     0     0     
1975  40      0     0     0     0     0     
1976  36      0     0     0     0     0     
1977  23      0     0     0     0     0     
1978  43      0     0     0     0     0     
1979  30      0     0     0     0     0     
1980  32      0     0     0     0     0     
1981  37      0     0     0     0     0     
1982  31      0     0     0     0     0     
1983  27      1     0     1     0     0     
1984  41      1     0     0     0     0     
1985  37      4     2     1     0     0     
1986  27      2     0     0     0     0     
1987  34      2     1     0     0     0     
1988  41      2     0     1     2     1     
1989  39      3     0     3     3     0     
1990  41      0     1     0     0     0     
1991  28      0     2     0     0     0     
1992  40      1     2     1     1     3     
1993  28      0     3     0     0     0     
1994  34      0     1     0     0     0     
1995  32      4     0     2     0     0     
1996  26      9     3     1     0     0     
1997  33      6     1     0     0     0     
1998  30      3     3     4     0     0     
1999  30      5     2     4     1     0     
2000  40      5     0     0     0     0     
2001  36      2     0     0     3     0     
2002  33      5     2     1     1     0     
2003  38      3     3     0     0     0     
2004  33      4     3     6     2     0     
2005  48      4     1     6     5     0     
2006  35      0     1     1     0     0     
2007  32      3     1     0     0     2     
2008  36      7     4     1     3     0     
2009  34      2     2     0     0     0     
2010  34      2     3     1     0     0     
2011  33      1     4     1     0     0     
2012  36      6     2     1     0     0     
2013  36      2     0     0     0     0     
2014  32      4     3     1     0     0     
2015  43      0     0     2     2     0     
2016  39      5     0     2     3     0     
2017  38      6     0     2     4     5     
2018  42      1     0     2     0     1     
2019  41      5     1     0     0     2     
2020  52      8     4     1     3     0     
2021  40      8     2     1     1     0     
2022  35      9     2     4     2     0     
2023  41      2     0     1     1     1     
